fen,move,game_id
8/7b/k6P/P5B1/1PK5/2P5/8/8 w - - 1 50,c4c5,4
8/8/k5bP/P1K3B1/1P6/2P5/8/8 w - - 3 51,g5d8,4
3B4/8/k6P/P1K5/1P6/2Pb4/8/8 w - - 5 52,c5d4,4
3B4/8/k6P/P4b2/1P1K4/2P5/8/8 w - - 7 53,c3c4,4
3B4/7b/k6P/P7/1PPK4/8/8/8 w - - 1 54,b4b5,4
3B4/1k5b/7P/PP6/2PK4/8/8/8 w - - 1 55,a5a6,4
2kB4/7b/P6P/1P6/2PK4/8/8/8 w - - 1 56,a6a7,4
3B4/Pk5b/7P/1P6/2PK4/8/8/8 w - - 1 57,b5b6,4
3B2b1/Pk6/1P5P/8/2PK4/8/8/8 w - - 1 58,c4c5,4
k2B2b1/P7/1P5P/2P5/3K4/8/8/8 w - - 1 59,c5c6,4
k2B4/P6b/1PP4P/8/3K4/8/8/8 w - - 1 60,c6c7,4
3B4/PkP4b/1P5P/8/3K4/8/8/8 w - - 1 61,a7a8q,4
k2B4/2P4b/1P5P/8/3K4/8/8/8 w - - 0 62,c7c8q,4
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,g8f6,5
rnbqkb1r/pppppppp/5n2/8/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 2 2,g7g6,5
rnbqkb1r/pppppp1p/5np1/8/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,f8g7,5
rnbqk2r/ppppppbp/5np1/8/3P1B2/3BP3/PPP2PPP/RN1QK1NR b KQkq - 2 4,e8g8,5
rnbq1rk1/ppppppbp/5np1/8/3P1B2/3BPN2/PPP2PPP/RN1QK2R b KQ - 4 5,d7d6,5
rnbq1rk1/ppp1ppbp/3p1np1/8/3P1B2/3BPN2/PPP2PPP/RN1Q1RK1 b - - 1 6,c8g4,5
rn1q1rk1/ppp1ppbp/3p1np1/8/3P1Bb1/3BPN2/PPPN1PPP/R2Q1RK1 b - - 3 7,b8c6,5
r2q1rk1/ppp1ppbp/2np1np1/8/3P1Bb1/3BPN1P/PPPN1PP1/R2Q1RK1 b - - 0 8,g4f3,5
r2q1rk1/ppp1ppbp/2np1np1/8/3P1B2/3BPN1P/PPP2PP1/R2Q1RK1 b - - 0 9,f8e8,5
r2qr1k1/ppp1ppbp/2np1np1/8/3P1B2/3BPN1P/PPPQ1PP1/R4RK1 b - - 2 10,e7e5,5
r2qr1k1/ppp2pbp/2np1np1/4P3/5B2/3BPN1P/PPPQ1PP1/R4RK1 b - - 0 11,d6e5,5
r2qr1k1/ppp2pbp/2n2np1/4N3/5B2/3BP2P/PPPQ1PP1/R4RK1 b - - 0 12,c6e5,5
r2qr1k1/ppp2pbp/5np1/4B3/8/3BP2P/PPPQ1PP1/R4RK1 b - - 0 13,e8e5,5
r2q2k1/ppp2pbp/5np1/4r3/8/3BP2P/PPPQ1PP1/R2R2K1 b - - 1 14,f6e4,5
r2q2k1/ppp2pbp/6p1/4r3/1Q2n3/3BP2P/PPP2PP1/R2R2K1 b - - 3 15,e4d6,5
r2q2k1/ppp2pbp/3n2p1/4r3/1QP5/3BP2P/PP3PP1/R2R2K1 b - - 0 16,b7b6,5
r2q2k1/p1p2pbp/1p1n2p1/4r3/1QP5/3BP2P/PP3PP1/2RR2K1 b - - 1 17,c7c5,5
r2q2k1/p4pbp/1p1n2p1/2p1r3/2P5/3BP2P/PP1Q1PP1/2RR2K1 b - - 1 18,d8f6,5
r5k1/p4pbp/1p1n1qp1/2p1r3/2P5/4P2P/PPBQ1PP1/2RR2K1 b - - 3 19,a8d8,5
3r2k1/p4pbp/1p1n1qp1/2p1r3/2P5/2Q1P2P/PPB2PP1/2RR2K1 b - - 5 20,b6b5,5
3r2k1/p4pbp/3n1qp1/1Pp1r3/8/2Q1P2P/PPB2PP1/2RR2K1 b - - 0 21,d6b5,5
3r2k1/p4pbp/5qp1/Qnp1r3/8/4P2P/PPB2PP1/2RR2K1 b - - 1 22,d8d1,5
6k1/p4pbp/5qp1/Qnp1r3/8/4P2P/PPB2PP1/3R2K1 b - - 0 23,a7a6,5
3R2k1/5pbp/p4qp1/Qnp1r3/8/4P2P/PPB2PP1/6K1 b - - 1 24,g7f8,5
R4bk1/5p1p/p4qp1/Qnp1r3/8/4P2P/PPB2PP1/6K1 b - - 3 25,e5f5,5
R4bk1/5p1p/p4qp1/Qnp2B2/8/4P2P/PP3PP1/6K1 b - - 0 26,f6f5,5
R2Q1bk1/5p1p/p5p1/1np2q2/8/4P2P/PP3PP1/6K1 b - - 1 27,g8g7,5
R4Q2/5pkp/p5p1/1np2q2/8/4P2P/PP3PP1/6K1 b - - 0 28,g7f6,5
R2Q4/5p1p/p4kp1/1np2q2/8/4P2P/PP3PP1/6K1 b - - 2 29,f6g7,5
R6Q/5pkp/p5p1/1np2q2/8/4P2P/PP3PP1/6K1 b - - 4 30,g7h6,5
R6Q/5p1p/p5pk/1np2q2/6P1/4P2P/PP3P2/6K1 b - - 0 31,f5b1,5
R6Q/5p1p/p5pk/1np5/6P1/4P2P/PP3PK1/1q6 b - - 2 32,b1b2,5
